shipperID,orderID
1,10249
1,10251
1,10258
1,10260
1,10265
1,10267
1,10269
1,10270
1,10274
1,10275
1,10280
1,10281
1,10282
1,10284
1,10288
1,10290
1,10296
1,10309
1,10317
1,10323
1,10324
1,10327
1,10330
1,10331
1,10343
1,10349
1,10351
1,10355
1,10358
1,10362
1,10364
1,10371
1,10379
1,10382
1,10388
1,10390
1,10395
1,10397
1,10401
1,10404
1,10405
1,10406
1,10408
1,10409
1,10415
1,10418
1,10420
1,10421
1,10422
1,10426
1,10428
1,10430
1,10437
1,10443
1,10445
1,10446
1,10452
1,10457
1,10460
1,10462
1,10466
1,10469
1,10472
1,10475
1,10492
1,10497
1,10500
1,10502
1,10507
1,10509
1,10513
1,10515
1,10520
1,10522
1,10527
1,10531
1,10533
1,10535
1,10537
1,10541
1,10544
1,10549
1,10552
1,10556
1,10559
1,10560
1,10562
1,10566
1,10567
1,10569
1,10575
1,10581
1,10584
1,10585
1,10586
1,10587
1,10591
1,10592
1,10595
1,10596
1,10600
1,10601
1,10604
1,10607
1,10610
1,10618
1,10625
1,10631
1,10632
1,10636
1,10637
1,10638
1,10640
1,10643
1,10645
1,10653
1,10654
1,10656
1,10658
1,10660
1,10667
1,10669
1,10670
1,10671
1,10673
1,10680
1,10683
1,10684
1,10686
1,10690
1,10695
1,10697
1,10698
1,10700
1,10702
1,10704
1,10710
1,10712
1,10713
1,10715
1,10722
1,10723
1,10726
1,10727
1,10730
1,10731
1,10732
1,10738
1,10744
1,10745
1,10747
1,10748
1,10750
1,10753
1,10757
1,10760
1,10762
1,10766
1,10769
1,10774
1,10775
1,10778
1,10780
1,10786
1,10787
1,10790
1,10794
1,10796
1,10798
1,10803
1,10807
1,10809
1,10811
1,10812
1,10813
1,10821
1,10824
1,10825
1,10826
1,10828
1,10829
1,10836
1,10845
1,10850
1,10851
1,10852
1,10855
1,10858
1,10865
1,10866
1,10867
1,10869
1,10873
1,10877
1,10878
1,10880
1,10881
1,10886
1,10890
1,10894
1,10895
1,10901
1,10902
1,10911
1,10913
1,10914
1,10921
1,10925
1,10927
1,10928
1,10929
1,10932
1,10945
1,10952
1,10954
1,10960
1,10961
1,10966
1,10970
1,10976
1,10980
1,10982
1,10985
1,10987
1,10989
1,10991
1,11002
1,11004
1,11005
1,11009
1,11011
1,11013
1,11021
1,11024
1,11026
1,11027
1,11028
1,11029
1,11034
1,11037
1,11042
1,11044
1,11049
1,11052
1,11054
1,11064
1,11065
1,11070
1,11071
2,10250
2,10252
2,10253
2,10254
2,10256
2,10261
2,10271
2,10272
2,10278
2,10279
2,10285
2,10291
2,10292
2,10294
2,10295
2,10297
2,10298
2,10299
2,10300
2,10301
2,10302
2,10303
2,10304
2,10307
2,10310
2,10312
2,10313
2,10314
2,10315
2,10318
2,10321
2,10326
2,10329
2,10332
2,10334
2,10335
2,10336
2,10339
2,10342
2,10344
2,10345
2,10348
2,10350
2,10356
2,10361
2,10365
2,10366
2,10368
2,10369
2,10370
2,10372
2,10375
2,10376
2,10385
2,10387
2,10389
2,10402
2,10407
2,10412
2,10413
2,10419
2,10424
2,10425
2,10427
2,10429
2,10431
2,10432
2,10434
2,10435
2,10436
2,10438
2,10440
2,10441
2,10442
2,10447
2,10448
2,10449
2,10450
2,10453
2,10455
2,10456
2,10459
2,10464
2,10467
2,10470
2,10474
2,10477
2,10480
2,10481
2,10483
2,10485
2,10486
2,10487
2,10488
2,10489
2,10490
2,10494
2,10496
2,10498
2,10499
2,10503
2,10506
2,10508
2,10512
2,10514
2,10518
2,10521
2,10523
2,10524
2,10525
2,10526
2,10528
2,10529
2,10530
2,10534
2,10536
2,10543
2,10545
2,10547
2,10548
2,10553
2,10557
2,10558
2,10561
2,10563
2,10565
2,10572
2,10574
2,10577
2,10579
2,10582
2,10583
2,10589
2,10593
2,10594
2,10602
2,10603
2,10605
2,10608
2,10609
2,10611
2,10612
2,10613
2,10616
2,10617
2,10621
2,10623
2,10624
2,10626
2,10630
2,10641
2,10644
2,10647
2,10648
2,10651
2,10652
2,10655
2,10657
2,10659
2,10662
2,10663
2,10665
2,10666
2,10668
2,10672
2,10674
2,10675
2,10676
2,10682
2,10685
2,10687
2,10688
2,10689
2,10691
2,10692
2,10703
2,10705
2,10708
2,10711
2,10716
2,10717
2,10719
2,10720
2,10724
2,10728
2,10735
2,10736
2,10737
2,10740
2,10743
2,10749
2,10755
2,10756
2,10761
2,10768
2,10771
2,10772
2,10777
2,10779
2,10783
2,10788
2,10789
2,10791
2,10795
2,10797
2,10801
2,10802
2,10804
2,10806
2,10816
2,10817
2,10820
2,10823
2,10827
2,10830
2,10831
2,10832
2,10833
2,10840
2,10841
2,10843
2,10844
2,10848
2,10849
2,10853
2,10854
2,10856
2,10857
2,10859
2,10861
2,10862
2,10863
2,10864
2,10868
2,10871
2,10872
2,10874
2,10875
2,10884
2,10888
2,10891
2,10892
2,10893
2,10897
2,10898
2,10900
2,10905
2,10908
2,10909
2,10912
2,10915
2,10916
2,10917
2,10919
2,10920
2,10924
2,10931
2,10936
2,10938
2,10939
2,10941
2,10943
2,10946
2,10947
2,10950
2,10951
2,10953
2,10955
2,10956
2,10958
2,10959
2,10962
2,10964
2,10967
