customerID,orderID
ALFKI,10643
ALFKI,10692
ALFKI,10702
ALFKI,10835
ALFKI,10952
ALFKI,11011
ANATR,10308
ANATR,10625
ANATR,10759
ANATR,10926
ANTON,10365
ANTON,10507
ANTON,10535
ANTON,10573
ANTON,10677
ANTON,10682
ANTON,10856
AROUT,10355
AROUT,10383
AROUT,10453
AROUT,10558
AROUT,10707
AROUT,10741
AROUT,10743
AROUT,10768
AROUT,10793
AROUT,10864
AROUT,10920
AROUT,10953
AROUT,11016
BERGS,10278
BERGS,10280
BERGS,10384
BERGS,10444
BERGS,10445
BERGS,10524
BERGS,10572
BERGS,10626
BERGS,10654
BERGS,10672
BERGS,10689
BERGS,10733
BERGS,10778
BERGS,10837
BERGS,10857
BERGS,10866
BERGS,10875
BERGS,10924
BLAUS,10501
BLAUS,10509
BLAUS,10582
BLAUS,10614
BLAUS,10853
BLAUS,10956
BLAUS,11058
BLONP,10265
BLONP,10297
BLONP,10360
BLONP,10436
BLONP,10449
BLONP,10559
BLONP,10566
BLONP,10584
BLONP,10628
BLONP,10679
BLONP,10826
BOLID,10326
BOLID,10801
BOLID,10970
BONAP,10331
BONAP,10340
BONAP,10362
BONAP,10470
BONAP,10511
BONAP,10525
BONAP,10663
BONAP,10715
BONAP,10730
BONAP,10732
BONAP,10755
BONAP,10827
BONAP,10871
BONAP,10876
BONAP,10932
BONAP,10940
BONAP,11076
BOTTM,10389
BOTTM,10410
BOTTM,10411
BOTTM,10431
BOTTM,10492
BOTTM,10742
BOTTM,10918
BOTTM,10944
BOTTM,10949
BOTTM,10975
BOTTM,10982
BOTTM,11027
BOTTM,11045
BOTTM,11048
BSBEV,10289
BSBEV,10471
BSBEV,10484
BSBEV,10538
BSBEV,10539
BSBEV,10578
BSBEV,10599
BSBEV,10943
BSBEV,10947
BSBEV,11023
CACTU,10521
CACTU,10782
CACTU,10819
CACTU,10881
CACTU,10937
CACTU,11054
CENTC,10259
CHOPS,10254
CHOPS,10370
CHOPS,10519
CHOPS,10731
CHOPS,10746
CHOPS,10966
CHOPS,11029
CHOPS,11041
COMMI,10290
COMMI,10466
COMMI,10494
COMMI,10969
COMMI,11042
CONSH,10435
CONSH,10462
CONSH,10848
DRACD,10363
DRACD,10391
DRACD,10797
DRACD,10825
DRACD,11036
DRACD,11067
DUMON,10311
DUMON,10609
DUMON,10683
DUMON,10890
EASTC,10364
EASTC,10400
EASTC,10532
EASTC,10726
EASTC,10987
EASTC,11024
EASTC,11047
EASTC,11056
ERNSH,10258
ERNSH,10263
ERNSH,10351
ERNSH,10368
ERNSH,10382
ERNSH,10390
ERNSH,10402
ERNSH,10403
ERNSH,10430
ERNSH,10442
ERNSH,10514
ERNSH,10571
ERNSH,10595
ERNSH,10633
ERNSH,10667
ERNSH,10698
ERNSH,10764
ERNSH,10771
ERNSH,10773
ERNSH,10776
ERNSH,10795
ERNSH,10836
ERNSH,10854
ERNSH,10895
ERNSH,10968
ERNSH,10979
ERNSH,10990
ERNSH,11008
ERNSH,11017
ERNSH,11072
FAMIA,10347
FAMIA,10386
FAMIA,10414
FAMIA,10512
FAMIA,10581
FAMIA,10650
