supplierID,productID
1,1
1,2
1,3
2,4
2,5
2,65
2,66
3,6
3,7
3,8
4,9
4,10
4,74
5,11
5,12
6,13
6,14
6,15
7,16
7,17
7,18
7,63
7,70
8,19
8,20
8,21
8,68
9,22
9,23
10,24
11,25
11,26
11,27
12,28
12,29
12,64
12,75
12,77
13,30
14,31
14,32
14,72
15,33
15,69
15,71
16,34
16,35
16,67
17,36
17,37
17,73
18,38
18,39
19,40
19,41
20,42
20,43
20,44
21,45
21,46
22,47
22,48
23,49
23,50
23,76
24,51
24,52
24,53
25,54
25,55
26,56
26,57
27,58
28,59
28,60
29,61
29,62
